Sentence,Sentiment
"ഹലോ,",neutral
ഇത് ഡീപ്തിയയാണ്.,negative
"ഹലോ,",neutral
ഇത് ഡീപ്തിയയാണ്.,negative
"ഹലോ,",neutral
ഇത് ഡീപ്തിയയാണ്.,negative
ഞങ്ങൾ നിങ്ങളെ സോഫ്റ്റ്‌വെയർ നിന്ന് വിളിക്കുന്നു.,very positive
ഓക്കെ .,neutral
"ഓക്കെ ,",neutral
നിങ്ങൾ എവിടെയാണ് സെക്യൂരിറ്റി അയയ്ച്ചത്?,negative
അതായിരുന്നു അടിസ്ഥാന കോൾ.,very positive
ഓക്കെ .,neutral
നിങ്ങൾ ഡീറ്റെയിൽസ് ഇവിടെ അയച്ചോ?,negative
നിങ്ങൾ ഡീറ്റെയിൽസ് ഇവിടെ അയച്ചോ?,negative
എനിക്ക് ഓർമ്മയില്ല.,negative
എനിക്ക് ഓർമ്മയില്ല.,negative
ഓക്കെ .,neutral
ഇതൊരു വാട്ട്സ്ആപ്പ് നമ്പറാണോ?,negative
യെസ് .,neutral
"ഓക്കെ ,",neutral
ഞാൻ ഡീറ്റെയിൽസ് പങ്കിടും.,very positive
"കൂടാതെ,",neutral
ഇന്റേൺഷിപ്പ് ഒന്ന് മുതൽ മൂന്ന് മാസം വരെ.,neutral
ഇതിന് ഞങ്ങൾക്ക് ഒരു ചെറിയ ഫീസ് ഉണ്ട്.,neutral
ഫീസ് 6000 ആണ്.,very positive
ഞങ്ങൾ തത്സമയ പ്രൊജക്ട്കളും മറ്റ് കാര്യങ്ങളും ഇവിടെ നൽകും.,very positive
"കൂടാതെ,",neutral
ഞങ്ങൾ എക്സ്പീരിയൻസ് സർട്ടിഫിക്കറ്റ് നൽകും.,very positive
"കൂടാതെ,",neutral
ഞങ്ങൾ എക്സ്പീരിയൻസ് സർട്ടിഫിക്കറ്റ് നൽകും.,very positive
ഓക്കെ .,neutral
നിങ്ങൾ ഒരു ഇന്റേൺഷിപ്പിനായി നോക്കുകയാണോ ?,negative
ഞാൻ.,very positive
ഓക്കെ .,neutral
