Sentence,Sentiment
"ഹലോ ഇതാണ് അഗസ്റ്റിൻ ബെനി ഹലോ നല്ലതന്റെ അഗസ്റ്റിൻ,",negative
"ഞാൻ നിങ്ങളുമായി ബന്ധപ്പെട്ടിരിക്കുന്നു,",very positive
നിങ്ങൾ ഒരു ഇന്റേൺഷിപ്പ് നിങ്ങൾക്കായി തിരയുകയാണെന്ന് എനിക്കറിയാം?,negative
"ഞാൻ ഒരു പെയ്ഡ് ഇന്റേൺഷിപ്പ് തിരയുകയായിരുന്നു,",negative
"ഞങ്ങൾക്ക് ഇപ്പോൾ പണം ലഭിക്കുന്നില്ല,",negative
"ഞാൻ നിലവിൽ ജോലി ചെയ്യാനുള്ള കാരണം,",very positive
"നിങ്ങൾ പരിശീലന സർട്ടികളാണ് ഞങ്ങൾ,",very positive
"നിങ്ങൾ ഏത് സ്ഥാനം തേടുന്നതാണ്,",negative
നിങ്ങൾ ഏത് സ്ഥാനം തേടാനാകുമോ?,negative
വികസന മേഖലയിൽ ഞാൻ ജോലി അന്വേഷിക്കുന്ന ഒരു ജോലിക്കായി ഞാൻ നോക്കിയിരുന്നു,very positive
