Sentence,Sentiment
"ഹലോ, ഇത് ഡീപ്തിയയാണ്.",negative
"ഹലോ, ഇത് ഡീപ്തിയയാണ്.",negative
സുഖമാണോ?,neutral
ടിനോ സോഫ്റ്റ്‌വെയർ നിന്ന് ഞാൻ ഡീപ്റ്റിയുമായി ബന്ധപ്പെട്ടിരിക്കുന്നു.,very positive
ഓക്കെ .,neutral
"ഓക്കെ , അതിനാൽ ഇന്ത്യയിലെ സെക്യൂരിറ്റി, നിങ്ങൾ ഇൻക്വയറി അയച്ചോ?",negative
അതൊരു അടിസ്ഥാന കോൾ ആയിരുന്നു.,neutral
ഓക്കെ .,neutral
നിങ്ങൾ ഡീറ്റെയിൽസ് ഇവിടെ അയച്ചോ?,negative
എനിക്ക് ഓർമ്മയില്ല.,negative
എനിക്ക് ധാരാളം ജോലി ഉള്ളതിനാൽ ഞാൻ ഓർക്കുന്നില്ല.,negative
"ഓക്കെ , ഓക്കെ .",very positive
ഇതൊരു വാട്ട്സ്ആപ്പ് നമ്പറാണോ?,negative
യെസ് .,neutral
"ഓക്കെ , ഞാൻ ഡീറ്റെയിൽസ് പങ്കിടും.",very positive
"കൂടാതെ, ഇന്റേൺഷിപ്പ് ഒന്ന് മുതൽ മൂന്ന് മാസം വരെ.",neutral
ഞങ്ങൾക്ക് ഒരു ചെറിയ ഫീസ് ഉണ്ട്.,neutral
ഫീസ് 6000 ആണ്.,very positive
ഞങ്ങൾ ജീവിത പ്രൊജക്ട്കളും മറ്റ് കാര്യങ്ങളും ഇവിടെ നൽകുന്നു.,very positive
ഓക്കെ .,neutral
"കൂടാതെ, ഞങ്ങൾ പരിചയ സർട്ടിഫിക്കറ്റുകൾ നൽകുന്നു.",very positive
ഓക്കെ .,neutral
ഓക്കെ .,neutral
നിങ്ങൾ ഒരു ഇന്റേൺഷിപ്പിനായി നോക്കുകയാണോ ?,negative
ഞാൻ നിങ്ങളോട് പറയും.,neutral
ഓക്കെ .,neutral
