Sentence,Sentiment
ഹലോ.,neutral
ഇതാണ് അഗസ്റ്റിൻ ബെനി.,very positive
ഗുഡ് ആഫ്റ്റർനൂൺ.,very positive
അഗസ്റ്റിൻ ബെനി സൗത്ത് ഓസ്ട്രേലിയയിൽ നിന്ന് എന്നെ വിളിക്കുന്നു.,negative
ഓക്കെ .,neutral
നിങ്ങൾ ഒരു ഇന്റേൺഷിപ്പ് തേടുന്നുവെന്ന് ഞാൻ കേട്ടു.,negative
നിങ്ങൾ എവിടെയാണ് ഇന്റേൺഷിപ്പ് തേച്ചത്?,negative
എനിക്ക് പണം ലഭിച്ചതിനാൽ ഞാൻ ഒരു ഇന്റേൺഷിപ്പ് തിരയുകയായിരുന്നു.,negative
ഓക്കെ .,neutral
ഞങ്ങൾക്ക് പണം ലഭിക്കുന്നില്ല.,negative
ഞങ്ങൾക്ക് ഇപ്പോൾ പണം ലഭിക്കുന്നു.,very positive
"അത് ഒഴിവാക്കാനുള്ള കാരണം, ഞങ്ങൾ തത്സമയ പ്രോജക്റ്റുകൾ ചെയ്യുന്നതിനാലാണിത്.",neutral
നിങ്ങളുടെ മുതിർന്നവരുമൊത്തുള്ള ഒരു ജൂനിയർ സ്ഥാനത്ത് നിങ്ങൾ ജോലി ചെയ്യാറുണ്ടായിരുന്നു.,negative
ഓക്കെ .,neutral
നിങ്ങൾ നൽകുന്നതെന്താണ് ഒരു പരിശീലന സർട്ടിഫിക്കറ്റ്.,very positive
ഞാൻ നിലവിൽ വർക്കിംഗ്.,very positive
ഞാൻ ട്രെയിനിംഗ് നോക്കുന്നില്ല.,negative
ഓക്കെ .,neutral
നിങ്ങൾ തിരയുന്ന സ്ഥാനം എന്നോട് പറയാമോ?,negative
ഓക്കെ .,neutral
