EN_Sentence,EN_Sentiment,EN_Intent,ML_Sentence,ML_Sentiment
"Hello This is Agustin Beni Hello Good Afternoon Agustin,",very positive,Neutral_response,"ഹലോ ഇതാണ് അഗസ്റ്റിൻ ബെനി ഹലോ നല്ലതന്റെ അഗസ്റ്റിൻ,",negative
I am in touch with you from the software Okay I know you were looking for an internship Where were you going?,neutral,Internship_details,"ഞാൻ നിങ്ങളുമായി ബന്ധപ്പെട്ടിരിക്കുന്നു,",very positive
"I was looking for a paid internship Okay,",neutral,Internship_details,നിങ്ങൾ ഒരു ഇന്റേൺഷിപ്പ് നിങ്ങൾക്കായി തിരയുകയാണെന്ന് എനിക്കറിയാം?,negative
"we are not getting paid Now we are getting the one with a fee The reason to avoid that is Our live projects are affordable for you You were with the seniors You used to work in a junior position Okay We provide training certificate I am currently working I am looking for something else I am not looking for training Okay,",neutral,No_interest,"ഞാൻ ഒരു പെയ്ഡ് ഇന്റേൺഷിപ്പ് തിരയുകയായിരുന്നു,",negative
can you tell me which position you are looking for?,neutral,Neutral_response,"ഞങ്ങൾക്ക് ഇപ്പോൾ പണം ലഭിക്കുന്നില്ല,",negative
I am looking for a job I am looking for a job in the development field,neutral,Project_details,"ഞാൻ നിലവിൽ ജോലി ചെയ്യാനുള്ള കാരണം,",very positive
,,,"നിങ്ങൾ പരിശീലന സർട്ടികളാണ് ഞങ്ങൾ,",very positive
,,,"നിങ്ങൾ ഏത് സ്ഥാനം തേടുന്നതാണ്,",negative
,,,നിങ്ങൾ ഏത് സ്ഥാനം തേടാനാകുമോ?,negative
,,,വികസന മേഖലയിൽ ഞാൻ ജോലി അന്വേഷിക്കുന്ന ഒരു ജോലിക്കായി ഞാൻ നോക്കിയിരുന്നു,very positive
